Domain,Aspect,Range,A Unique Child (What a child might be doing),Positive Relationships (What adults might do),Enabling Environments (What adults might provide)
Personal Social and Emotional Development,Sense of Self,Range 5,"• Is becoming more aware of the similarities and differences between themselves and others.
• Is sensitive to others' messages of appreciation or criticism.
• Enjoys a sense of belonging through being involved in daily tasks .","• Celebrate each child's uniqueness by openly talking with them about their individual characteristics.
• Value difference through showing genuine interest in and valuing all children's contributions.
• Offer extra support to children in new situations or when they are feeling anxious .","• Involve parents in their children's learning and learn about each child's home culture from them.
• Plan regular opportunities for children to talk to their small group about something they are interested in.
• Include mirrors and photographs of the children and their families and friends in the environment."
Personal Social and Emotional Development,Sense of Self,Range 6,"• Recognises that they belong to different communities and social groups.
• Is more aware of their relationships to particular social groups and sensitive to prejudice.
• Shows confidence in speaking to others about their own needs, wants, interests and opinions .","• Engage with children in exploring and talking about what they are doing, valuing their ideas.
• Offer help with activities when asked but not before and see struggle and mistakes as important parts of learning.
• Intervene when children need help and validation of feelings in difficult situations .","• Give time for children to pursue their play and learning without interruption.
• Provide experiences and activities that are challenging but achievable.
• Provide a role-play area resourced with materials reflecting children's family lives and communities."
Personal Social and Emotional Development,Understanding Emotions,Range 1,"• Communicates a range of emotions (e.g. pleasure, interest, fear) through making sounds and facial expressions.
• Expresses feelings strongly through crying in order to make sure that their needs will be met.
• Seeks physical and emotional comfort by snuggling in to trusted adults .","• Learn from parents about how their baby expresses their emotions and what they do to soothe them.
• Support babies who are distressed on separating from their parents by acknowledging their feelings.
• Be responsive to all communication such as crying, babbling and physical movements .","• Observe babies' emotional responses and plan the routines, the environment and play experiences to support them.
• Encourage parents to bring their baby's comforter/transitional object.
• Create a cosy, quiet place for babies to be calm."
Personal Social and Emotional Development,Understanding Emotions,Range 2,"• Shows a wider variety of feelings, using crying, gestures and vocalisations freely.
• Begins to become aware of their emotions as the connections in the brain that make feelings conscious grow.
• Uses familiar adult to share feelings such as excitement and for 'emotional refuelling' .","• Tune in to a baby's emotions and respond calmly, gently and sensitively.
• Use calming processes such as rocking or calmly singing in response to emotional expression.
• Learn lullabies and other songs that babies know from home .","• Create spaces and experiences in which babies feel secure enough to explore and play.
• Provide resources including picture books and stories that focus on a range of emotions.
• Store babies' toys and comforters where they can find and reach them."
Personal Social and Emotional Development,Understanding Emotions,Range 3,"• Expresses positive feelings such as joy and affection and negative feelings such as anger.
• Experiences a wide range of feelings with great intensity, such as anger and frustration.
• Is aware of others' feelings and is beginning to show empathy .","• Be a secure base for toddlers to return to for 'emotional refuelling' when encountering novel situations.
• Create regular opportunities to be in very small groups or 1:1 times with the key person.
• Reduce frustration and conflict by keeping routines flexible .","• Maintain consistency of key person relationships in the organisation of staffing.
• Keep changes in group and routine to a minimum.
• Ensure that observation and planning for children's emotional needs is a central focus."
Personal Social and Emotional Development,Understanding Emotions,Range 4,"• Expresses the self-aware emotions of pride and embarrassment.
• Can feel overwhelmed by intense emotions, resulting in an emotional collapse.
• Is becoming able to think about their feelings as their brain starts to develop the connections .","• Show empathy and stay close by to offer support and reassurance as the child calms after an emotional collapse.
• Use real life experiences to help children to understand a wide range of emotions.
• Model empathy and talk about others' feelings .","• Provide books, stories and puppets that can be used to model responding to others' feelings.
• Provide sufficient materials and duplicates of popular items to reduce conflict.
• Create calm spaces inside and out, for retreat and relaxation."
Personal Social and Emotional Development,Understanding Emotions,Range 5,"• Expresses a wide range of feelings in their interactions with others.
• May exhibit increased fearfulness of things like the dark or monsters.
• Talks about how others might be feeling and responds according to their understanding .","• Create a listening culture and atmosphere which is calm and caring.
• Name and talk about a wide range of feelings and make it clear that all feelings are acceptable.
• Model how you manage your own feelings, e.g. I'm feeling a bit angry and I need to calm down .","• Plan small group circle times when children can explore feelings, e.g. through stories.
• Provide photographs and books where emotions are being expressed.
• Use Persona Dolls to help children consider feelings and ways to help others feel better."
Personal Social and Emotional Development,Understanding Emotions,Range 6,"• Understands their own and other people's feelings, offering empathy and comfort.
• Talks about their own and others' feelings and behaviour and its consequences.
• Is more able to manage their feelings and tolerate situations in which their wishes cannot be met .","• Help children to recognise when their actions hurt others.
• Be emotionally available to young children when they need to 'emotionally refuel'.
• Support children in recognising the consequences of behaviours and responses .","• Offer environments that include stimulating and challenging spaces but also calm and comfortable spaces.
• Set, explain and maintain clear, reasonable and consistent boundaries.
• Involve children in agreeing codes of behaviour and taking responsibility for implementing them."
Communication and Language,Listening and Attention,Range 1,"• Turns toward a familiar sound then locates range of sounds with accuracy.
• Listens to, distinguishes and responds to intonations and sounds of voices.
• Reacts in interaction with others by smiling, looking and moving .","• Get physically close making sure the baby can see your face.
• Show that you are present and tuned in by using eye contact and touch.
• Be attentive and leave space for the baby to start a 'serve and return' conversation .","• Share stories, songs and rhymes from all cultures and in babies' home languages.
• Share favourite stories, songs, rhymes or music as babies are settling to sleep.
• Create an environment which invites responses from babies and adults."
Communication and Language,Listening and Attention,Range 2,"• Moves whole body to sounds they enjoy, such as music or a regular beat.
• Concentrates intently on an object or activity of own choosing for short periods.
• Pays attention to dominant stimulus - easily distracted by noises or other people talking .","• Imitate the baby's responses to show you notice and value their contributions.
• Encourage playfulness, laughter, turn-taking and responses.
• Sing songs and rhymes during everyday routines .","• Consider what it feels like to use your voice in your environment.
• Collect resources that children can listen to and learn to distinguish between.
• Encourage listening in its widest sense; human noises, non-human noises, etc.."
Communication and Language,Listening and Attention,Range 3,"• Listens to and enjoys rhythmic patterns in rhymes and stories.
• Enjoys rhymes and demonstrates listening by trying to join in with actions or vocalisations.
• Pays attention to own choice of activity, may move quickly from activity to activity .","• Follow the baby's focus and pay joint attention to what they are interested in.
• Use natural gestures and/or signing e.g. waving 'bye-bye'.
• Play alongside the child and talk together .","• Provide opportunities to listen to the sounds of the local area.
• Listen to sounds that are easily identifiable and mysterious noises that are not.
• Use puppets and other props to encourage listening and responding."
Communication and Language,Listening and Attention,Range 4,"• Listens with interest to the noises adults make when they read stories.
• Recognises and responds to many familiar sounds, e.g. turning to a knock on the door.
• Single channelled attention; can shift to a different task if attention fully obtained .","• Model being a listener by listening to children and taking account of what they say.
• Have conversations with children as part of everyday activities.
• Model and encourage language for thinking by using phrase such as I wonder... .","• Encourage children to learn one another's names and to pronounce them correctly.
• Where possible minimise background noise and visual distractions.
• Encourage talk in all spaces, both indoors and outdoors."
Communication and Language,Listening and Attention,Range 5,"• Listens to others in one-to-one or small groups, when conversation interests them.
• Listens to familiar stories with increasing attention and recall.
• Joins in with repeated refrains and anticipates key events and phrases in rhymes .","• Encourage repetition, rhythm and rhyme by using tone and intonation.
• Be aware of and actively support the needs of children learning English as an additional language.
• Engage in role play and imaginary play scenarios and model listening behaviours .","• Plan activities listening carefully to different speech sounds, e.g. a sound chain.
• When singing or saying rhymes, talk about the similarities in the rhyming words.
• Set up a listening area or other opportunities where children can enjoy rhymes and stories."
Communication and Language,Listening and Attention,Range 6,"• Is able to follow directions (if not intently focused).
• Shows variability in listening behaviour; may move around but still be listening.
• May indicate two-channelled attention, e.g. paying attention to something of interest for short or long periods .","• Cue children, particularly those with communication difficulties, to listen by first using their name.
• Share rhymes, books and stories from many cultures, sometimes using languages other than English.
• Invite parents and members of wider communities to story-telling opportunities .","• Choose stories with repeated refrains, dances and action songs.
• Plan regular short periods when individuals listen to others, such as singing a short song.
• Play games which involve listening for a signal, such as Simon Says."
Communication and Language,Understanding,Range 1,"• Turns when hears own name.
• Starts to understand contextual clues, e.g. familiar gestures, words and sounds .","• Look at the baby and say their name.
• Interpret and give meaning to the things young babies show interest in.
• Use an animated, enthusiastic face when interacting with children .","• Let babies see and hear the sequence of actions you go through as you carry out familiar routines.
• Provide resources and spaces that stimulate babies' interests.
• Find out from parents how babies make themselves understood at home."
Communication and Language,Understanding,Range 2,"• Is developing the ability to follow others' body language, including pointing and gesture.
• Responds to simple questions when in a familiar context (e.g. Where's Mummy?).
• Understanding of single words in context is developing, e.g. cup, milk, daddy .","• Observe children as they watch their environment.
• Talk to babies about what you are doing and what is happening, so they will link words with actions.
• Use actions including hands and finger plays to support your words .","• Display lists of words from different home languages.
• When singing rhymes and songs use actions to support children's understanding of words.
• Plan play activities and provide resources which encourage young children to engage in symbolic play."
Communication and Language,Understanding,Range 3,"• Understands different situations - able to follow routine events and activities.
• Selects familiar objects by name and will go and find objects when asked.
• Understands simple sentences (e.g. Throw the ball) .","• Use gestures and facial expression to help show your meaning.
• Be aware that young children's understanding is much greater than their ability to express their thoughts.
• Use language appropriate to the child's level of understanding .","• Plan real world shared experiences such as visits, everyday tasks.
• Use pictures, books, real objects, and signs alongside your words.
• Stay with the child while they play, taking time to watch their movements."
Communication and Language,Understanding,Range 4,"• Identifies action words by following simple instructions, e.g. Show me jumping.
• Beginning to understand more complex sentences, e.g. Put your toys away and then sit on the carpet.
• Understands who, what, where in simple questions .","• Be attentive and respond to children's talk in an appropriate and positive way.
• Use talk to describe what children are doing by providing a running commentary.
• Talk slowly enough for the child to understand .","• Include things which excite young children's curiosity, such as hats, bubbles, shells.
• Provide activities, such as cooking, where talk is used to anticipate or initiate what children will be doing.
• Stay with the child while they play, play alongside the child and show attentive companionship."
Communication and Language,Understanding,Range 5,"• Understands use of objects (e.g. Which one do we cut with?).
• Shows understanding of prepositions such as under, on top, behind.
• Responds to instructions with more elements, e.g. Give the big ball to me .","• Prompt children's thinking and discussion through involvement in their play.
• Talk to children about what they have been doing and help them to reflect upon and explain events.
• When you need to give children directions be clear and help them to deal with those involving more than one action .","• Set up shared experiences that children can reflect upon, e.g. visits, cooking, or stories.
• Help children to predict and order events coherently by providing props.
• Tune into children's preferred modes of communication."
Communication and Language,Understanding,Range 6,"• Understands a range of complex sentence structures including negatives, plurals and tense markers.
• Beginning to understand humour, e.g. nonsense rhymes, jokes.
• Able to follow a story without pictures or props .","• Ask children to think in advance and predict how they will accomplish a task.
• Use appropriate vocabulary during play with children to encourage them to think about stories.
• Use stories from books to focus children's attention on predictions and explanations .","• Provide practical experiences that encourage children to ask and respond to questions.
• Alongside books, introduce story props, such as pictures, puppets and objects.
• Set up displays that are interactive so children can touch, pick up etc."
Communication and Language,Speaking,Range 1,"• Communicates needs and feelings in a variety of ways including crying, gurgling, babbling.
• Makes own sounds in response when talked to by familiar adults.
• Practises and gradually develops speech sounds (babbling) .","• Find out from parents how they like to communicate with their baby.
• Pay attention to babies' communications including facial expression, gesture, etc..
• Encourage babies' sounds and babbling by copying their sounds in a turn-taking interaction .","• Learn and use key words in the home languages of babies in the setting.
• Value and learn from families about their communities, languages and cultures.
• Encourage parents to record familiar, comforting sounds, such as lullabies in home languages."
Communication and Language,Speaking,Range 2,"• Points and looks to make requests and to share an interest.
• Uses sounds in play, e.g. brrrm for toy car.
• Frequently imitates words and sounds .","• Communicate with parents to exchange and update information about babies' personal words.
• Try to 'tune in' to the different messages young babies are attempting to convey.
• Look out for patterns of communications they use to invite you into encounters .","• Find out from parents the words that children use for things which are important to them.
• Explain that strong foundations in a home language support the development of English.
• Tune into what different children enjoy and create environments where babbling and talking feels easy."
Communication and Language,Speaking,Range 3,"• Copies familiar expressions, e.g. Oh dear, All gone.
• Beginning to put two words together (e.g. Want ball).
• Uses gestures, sometimes with limited talk, e.g. reaches toward toy, saying Want it .","• Share the fun of discovery and value babies' attempts at words.
• When babies try to say a word, repeat it back so they can hear the name of the object clearly.
• Build vocabulary by giving choices, e.g. apple or satsuma? .","• Allow time to follow young children's lead and have fun together while developing vocabulary.
• Provide stories with repetitive phrases and structures to read aloud to children.
• Display pictures and photographs showing engaging, familiar or fantastical events."
Communication and Language,Speaking,Range 4,"• Beginning to ask simple questions.
• Beginning to talk about people and things that are not present.
• Uses language to share feelings, experiences and thoughts .","• Model building sentences by repeating what the child says and adding another word.
• Give the child enough time to talk with silences to allow the child to respond.
• Show children how to pronounce or use words by responding and repeating what they say in the correct way .","• Provide activities which help children to learn to distinguish differences in sounds.
• Plan to encourage correct use of language by telling repetitive stories.
• Provide opportunities for children to communicate in their home language."
Communication and Language,Speaking,Range 5,"• Holds a conversation, jumping from topic to topic.
• Uses a variety of questions (e.g. what, where, who).
• Beginning to use more complex sentences to link thoughts (e.g. using and, because) .","• Play with sounds and words children use, such as nonsense language.
• Wait and allow the child time to start the conversation.
• Follow the child's lead to talk about what they are interested in .","• Help children to build their vocabulary, motivations and opportunities to experiment with talk.
• Foster children's enjoyment of spoken and written language by providing interesting play opportunities.
• Plan regular opportunities for children to speak, e.g. take turns having a toy animal at home."
Communication and Language,Speaking,Range 6,"• Uses talk to explain what is happening and anticipate what might happen next.
• Questions why things happen and gives explanations.
• Extends vocabulary, especially by grouping and naming, exploring the meaning and sounds of new words .","• Use lively intonation and animated expression when speaking with children.
• Talk with children to make links between their body language and words.
• Use a lot of statements and comments and fewer questions to build natural conversation .","• Provide small world toys or puppets for children to act out familiar stories.
• Set up collaborative tasks, e.g. construction, food activities or story-making.
• Provide opportunities for talking for a wide range of purposes, e.g. to present ideas."
Physical Development,Moving and Handling,Range 1,"• Gradually develops ability to hold up own head 
• Makes movements with arms and legs which gradually become more controlled 
• Follows and tracks a sound or moving object ","• Ensure that from birth onwards babies have frequent opportunities for moving and being active 
• Take babies outdoors as much as possible 
• Give babies lots of time being touched and held ","• The caregiver's body is the first and foremost enabling environment 
• Provide comfortable seating both indoors and outdoors 
• Make the most of the outdoors for providing tactile and visual stimulation "
Physical Development,Moving and Handling,Range 2,"• Belly crawling moves into crawling up on hands and knees 
• Becomes adept at changing position from crawling to sitting 
• Sits unsupported on the floor, leaving hands free ","• Enable older babies to have at least three hours a day moving and being active 
• Develop a shared approach to managing risk 
• Ensure that clothing supports babies' mobility ","• Alongside the continuing role of adult bodies, the floor is the best enabling environment 
• Limit the time older babies spend in seats 
• Plan space to encourage free movement "
Physical Development,Moving and Handling,Range 3,"• Develops security in walking upright using feet alternately 
• Walks upstairs facing forwards holding rail or hand of adult 
• Changes position from standing to squatting and sitting with little effort ","• Enable toddlers to have at least three hours a day moving and being active 
• Develop a shared team culture of managing risk positively 
• Continue to provide a visible, attentive 'safe base' ","• Anticipate young children's exuberance and ensure the space is clear 
• Provide opportunities to swing, spin and bounce 
• Ensure that toddlers spend lots of time outdoors experiencing uneven ground "
Physical Development,Moving and Handling,Range 4,"• Sits up from lying down, stands up from sitting and squats with steadiness 
• Runs safely on whole foot 
• Jumps up into the air with both feet leaving the floor ","• Value the ways children choose to move 
• Give as much opportunity as possible for children to move freely between indoors and outdoors 
• Talk to children about their movements and help them to explore new ways ","• Plan opportunities for children to tackle a range of levels and surfaces 
• Provide a range of large play equipment that can be used in different ways 
• Plan time for children to experiment with equipment "
Physical Development,Moving and Handling,Range 5,"• Climbs stairs, steps and moves across climbing equipment using alternate feet 
• Walks down steps or slopes whilst carrying a small object 
• Runs with spatial awareness and negotiates space successfully ","• Encourage children to move with controlled effort 
• Use music of different tempo, styles and cultures to create moods 
• Motivate children to be active through group games ","• Provide time and space to enjoy energetic play outdoors daily 
• Provide large portable equipment that children can move about safely 
• Practise movement skills through games with beanbags, cones, balls "
Physical Development,Moving and Handling,Range 6,"• Uses simple tools to effect changes to materials 
• Shows a preference for a dominant hand 
• Begins to form recognisable letters independently ","• Notice a child who moves repetitively in a particular way 
• Notice a child who lacks strength in limbs to push, pull or move ","• Provide access to waterproofs and wellington boots 
• Provide equipment that supports different kinds of schemas 
• Agree acceptable levels of risk and challenge "
Physical Development,Health and Self-care,Range 1,"• Responds to and thrives on warm, sensitive physical contact and care 
• Makes needs known through crying and body movements 
• Sleeps for 14-16 hours a day, with several short naps ","• Be alert and responsive to when babies have moved out of exploratory mode 
• Talk to young babies as you stroke their cheeks 
• Discuss with parents the critical role of sleep in infancy ","• Provide a dedicated place for daytime sleeping outdoors as well as indoors 
• Enable and allow babies to sleep when they need to 
• Provide ample seating both indoors and outside "
Physical Development,Health and Self-care,Range 2,"• Grasps finger foods and brings them to mouth 
• Attentive to sounds in the environment 
• Generally has up to 12 teeth ","• Make sure that clothing enables mobility and does not present any hazards 
• Help babies use their feet in crawling and standing by removing footwear 
• Explain to parents how supporting self-directed movement provides the basis for motor planning ","• Help children to enjoy their food and appreciate healthier choices 
• Provide safe surroundings in which young children have freedom to move 
• Ensure that the environment is calm and not filled with noise "
Physical Development,Health and Self-care,Range 3,"• Develops own likes and dislikes in food and drink 
• Shows interest in indoor and outdoor clothing 
• Clearly communicates wet or soiled nappy or pants ","• Be responsive to and encourage each child's drive to become independent in self-care 
• Be aware of and learn about differences in cultural attitudes 
• Value children's choices and encourage them to try something new ","• Ensure that there are plenty of different places and ways for toddlers to find withdrawal 
• Provide ample seating so that toddlers can snuggle with adults 
• Ensure that there is time for young children to complete a self-chosen task "
Physical Development,Health and Self-care,Range 4,"• Very energetic in short bursts and needs time for rest and calm 
• Needs to sleep for 10-13 hours in a 24-hour period 
• Feeds self competently ","• Provide quiet spaces for children to rest or nap 
• Respond to how child communicates need for food, drinks, toileting 
• Support parents' routines with young children's self-care ","• Allow children to pour their own drinks, serve their own food 
• Provide support and advice for parents on healthy eating 
• Offer choices for children in terms of potties, trainer seats "
Physical Development,Health and Self-care,Range 5,"• Can tell adults when hungry, full up or tired 
• Observes and can describe in words or actions the effects of physical activity 
• Can name and identify different parts of the body ","• Talk with children about why you encourage them to rest 
• Encourage children to notice the changes in their bodies after exercise 
• Talk with children about the importance of hand-washing ","• Provide a cosy place with a cushion and a soft light 
• Plan so that children can be active in a range of ways 
• Encourage children to be active and energetic by organising lively games "
Physical Development,Health and Self-care,Range 6,"• Eats a healthy range of foodstuffs and understands need for variety 
• Describes a range of different food textures and tastes 
• Describes physical changes to the body that can occur when feeling unwell ","• Be aware that some children may have sensory issues around food 
• Acknowledge and encourage children's efforts to manage their personal needs 
• Promote health awareness by talking with children about exercise ","• Plan opportunities, particularly after exercise, for children to talk about how their bodies feel 
• Review enabling environments for adventure and challenge 
• Develop and make use of a variety of natural landscapes "
Literacy,Reading,Range 1,"• Notices and engages with sounds and images in the environment 
• Enjoys looking at books and other suitable printed or digital material 
• Handles books, printed and digital reading material with interest ","• Use finger play, rhymes and familiar songs to support young babies' enjoyment 
• Provide enjoyable shared experiences with books and apps 
• Plan shared story and book time as a key source of nurture ","• Provide mobiles, inviting displays and pictures of familiar characters 
• Collect a diverse range of board books, cloth books, picture books 
• Offer books that provide sensory experiences "
Literacy,Reading,Range 2,"• Responds to sounds in the environment 
• Is interested in and explores the sounds made by banging and tapping 
• Waves and taps arms, bounces or stamps to simple rhythms ","• Notice and support babies' developing responses, gestures and movements 
• Make voice sounds and say words as babies explore print 
• Sing simple songs and nursery rhymes with children ","• Let children handle books and draw their attention to pictures 
• Tell and read stories, looking at and interacting with young babies 
• Draw on children's home cultures to create meaningful reading experiences "
Literacy,Reading,Range 3,"• Notices pictures and symbols and beginning to recognise what they stand for 
• Is interested in and anticipates books and rhymes 
• Begins to join in with actions and sounds in familiar song ","• Encourage and support children's responses to picture books 
• Use different voices to tell stories ","• Provide opportunities for children to explore sound with drums 
• Provide digital recordings of rhymes, stories, sounds 
• Provide picture books, books with flaps or hidden words "
Literacy,Reading,Range 4,"• Has some favourite stories, rhymes, songs, poems or jingles 
• Repeats and uses actions, words or phrases from familiar stories 
• Fills in the missing word or phrase in a known rhyme ","• Encourage children to use and extend the stories they hear in their play 
• Tune into words from stories that individual children particularly enjoy 
• Read stories that children already know, pausing at intervals ","• Find quality time every day to tell and read stories to children 
• Provide stories, pictures and puppets which allow children to experience how characters feel 
• Include familiar environmental print in the role play area "
Literacy,Reading,Range 5,"• Joins in with repeated refrains and anticipates key events 
• Talks about events and principal characters in stories 
• Shows interest in illustrations and words in print and digital books ","• Read dual language books with all children 
• Remember that established literacy practices in homes might differ 
• Read aloud to children every day ","• Provide a range of reading materials that draw on home experiences 
• Ensure children can see written text, e.g. use big books 
• Provide a range of resources in play areas, such as empty cereal packets "
Literacy,Reading,Range 6,"• Begins to recognise some written names of peers 
• Begins to develop phonological and phonemic awareness 
• Begins to segment the sounds in simple words and blend them ","• Play games to help children make links between letters and speech sounds 
• Model how simple words can be segmented into sounds 
• Consider teaching Alternative and Augmentative Communication (AAC) ","• Introduce children to new words, and explore their meaning together 
• Provide story sacks and boxes 
• Help children to identify the main events in a story "
Literacy,Writing,Range 1,"• Begins to understand the cause and effect of their actions in mark making 
• Knows that the marks they make are of value 
• Enjoys the sensory experience of making marks ","• Encourage children to use their fingers and implements to explore and trace marks 
• Make marks together with babies and toddlers using a range of materials 
• Encourage different mark-making movements ","• Provide a range of materials: sand, paint, early writing apps 
• Give children large sheets of paper, trays of gloop, paint 
• Introduce a range of appropriate implements including large brushes "
Literacy,Writing,Range 2,"• Distinguishes between the different marks they make 
• Enjoys drawing and writing on paper, on screen and on different textures ","• Tell children about the marks you are making and encourage them to talk to you 
• Value these early mark making activities by sharing them with others 
• Write down (scribe) children's words, and read them back ","• Offer children a range of different surfaces to make marks on 
• Provide a broad range of opportunities for early writing experiences 
• Draw attention to marks, signs and symbols in the environment "
Literacy,Writing,Range 3,"• Makes up stories, play scenarios, and drawings in response to experiences 
• Sometimes gives meaning to their drawings and paintings 
• Ascribes meanings to signs, symbols and words ","• Notice and encourage children's drawing, painting and early writing 
• Celebrate and value children's early attempts at graphic representation 
• Model and include children in using signs and writing to expand playful experiences ","• Write down things children say to support their developing understanding 
• Set up environments of offices, dens, shop, etc. 
• Provide a range of accessible materials and tools for writing "
Literacy,Writing,Range 4,"• Imitates adults' writing by making continuous lines of shapes and symbols 
• Attempts to write their own name, or other names and words 
• Shows interest in letters on a keyboard ","• Support children in recognising and writing their own names 
• Make paper and digital books with children of activities they have been doing 
• Write poems and short stories together with the children ","• Provide activities during which children can experiment with writing 
• Encourage children to use their phonic knowledge when writing "
Literacy,Writing,Range 5,"• Begins to make letter-type shapes to represent the initial sound of their name 
• Enjoys creating texts to communicate meaning for an increasingly wide range of purposes 
• Gives meaning to the marks they make as they draw, write, paint ","• Find out about, show interest in and legitimise children's out-of-school writing practices 
• Talk to children about things they might write to support their play 
• Write stories, poems, jokes, lists, plans, maps etc. together with children ","• Provide word banks, notebooks, clipboards, post-its 
• Ensure resources enable children to draw on their out-of-school practices 
• Include oral stories and explore ways to develop oral storytelling skills "
Literacy,Writing,Range 6,"• Begins to break the flow of speech into words 
• Starts to develop phonic knowledge by linking sounds to letters 
• Uses their developing phonic knowledge to write things such as labels ","• Talk to children about the letters that represent the sounds they hear 
• Model how to segment the sounds (phonemes) in simple words 
• Encourage children to apply their own grapheme/phoneme knowledge ","• Provide a range of opportunities to write for different purposes 
• Resource role-play areas with listening and writing equipment 
• Plan enjoyable activities and games that help children create rhyming strings "
