Song,Show,Specific Production,Album,BPM,YouTube Link
"Dear Theodosia",Hamilton,Original Broadway,Hamilton (OBCR),76,https://www.youtube.com/results?search_query=Dear+Theodosia+Hamilton+OBCR
"Non-Stop",Hamilton,Original Broadway,Hamilton (OBCR),102,https://www.youtube.com/results?search_query=Non-Stop+Hamilton+OBCR
"What'd I Miss",Hamilton,Original Broadway,Hamilton (OBCR),108,https://www.youtube.com/results?search_query=Whatd+I+Miss+Hamilton+OBCR
"Cabinet Battle #1",Hamilton,Original Broadway,Hamilton (OBCR),96,https://www.youtube.com/results?search_query=Cabinet+Battle+1+Hamilton+OBCR
"Take a Break",Hamilton,Original Broadway,Hamilton (OBCR),98,https://www.youtube.com/results?search_query=Take+a+Break+Hamilton+OBCR
"Say No to This",Hamilton,Original Broadway,Hamilton (OBCR),76,https://www.youtube.com/results?search_query=Say+No+to+This+Hamilton+OBCR
"The Room Where It Happens",Hamilton,Original Broadway,Hamilton (OBCR),112,https://www.youtube.com/results?search_query=The+Room+Where+It+Happens+Hamilton+OBCR
"Schuyler Defeated",Hamilton,Original Broadway,Hamilton (OBCR),120,https://www.youtube.com/results?search_query=Schuyler+Defeated+Hamilton+OBCR
"Cabinet Battle #2",Hamilton,Original Broadway,Hamilton (OBCR),92,https://www.youtube.com/results?search_query=Cabinet+Battle+2+Hamilton+OBCR
"Washington on Your Side",Hamilton,Original Broadway,Hamilton (OBCR),94,https://www.youtube.com/results?search_query=Washington+on+Your+Side+Hamilton+OBCR
"One Last Time",Hamilton,Original Broadway,Hamilton (OBCR),86,https://www.youtube.com/results?search_query=One+Last+Time+Hamilton+OBCR
"I Know Him",Hamilton,Original Broadway,Hamilton (OBCR),122,https://www.youtube.com/results?search_query=I+Know+Him+Hamilton+OBCR
"The Adams Administration",Hamilton,Original Broadway,Hamilton (OBCR),120,https://www.youtube.com/results?search_query=The+Adams+Administration+Hamilton+OBCR
"We Know",Hamilton,Original Broadway,Hamilton (OBCR),88,https://www.youtube.com/results?search_query=We+Know+Hamilton+OBCR
"Hurricane",Hamilton,Original Broadway,Hamilton (OBCR),118,https://www.youtube.com/results?search_query=Hurricane+Hamilton+OBCR
"The Reynolds Pamphlet",Hamilton,Original Broadway,Hamilton (OBCR),120,https://www.youtube.com/results?search_query=The+Reynolds+Pamphlet+Hamilton+OBCR
"Burn",Hamilton,Original Broadway,Hamilton (OBCR),80,https://www.youtube.com/results?search_query=Burn+Hamilton+OBCR
"Blow Us All Away",Hamilton,Original Broadway,Hamilton (OBCR),96,https://www.youtube.com/results?search_query=Blow+Us+All+Away+Hamilton+OBCR
"Stay Alive (Reprise)",Hamilton,Original Broadway,Hamilton (OBCR),72,https://www.youtube.com/results?search_query=Stay+Alive+Reprise+Hamilton+OBCR
"It's Quiet Uptown",Hamilton,Original Broadway,Hamilton (OBCR),74,https://www.youtube.com/results?search_query=Its+Quiet+Uptown+Hamilton+OBCR
"The Election of 1800",Hamilton,Original Broadway,Hamilton (OBCR),120,https://www.youtube.com/results?search_query=The+Election+of+1800+Hamilton+OBCR
"Your Obedient Servant",Hamilton,Original Broadway,Hamilton (OBCR),98,https://www.youtube.com/results?search_query=Your+Obedient+Servant+Hamilton+OBCR
"Best of Wives and Best of Women",Hamilton,Original Broadway,Hamilton (OBCR),72,https://www.youtube.com/results?search_query=Best+of+Wives+and+Best+of+Women+Hamilton+OBCR
"The World Was Wide Enough",Hamilton,Original Broadway,Hamilton (OBCR),122,https://www.youtube.com/results?search_query=The+World+Was+Wide+Enough+Hamilton+OBCR
"Who Lives, Who Dies, Who Tells Your Story",Hamilton,Original Broadway,Hamilton (OBCR),84,https://www.youtube.com/results?search_query=Who+Lives+Who+Dies+Who+Tells+Your+Story+Hamilton+OBCR
"Ex-Wives",Six,Studio Cast,Six: The Musical,122,https://www.youtube.com/results?search_query=Ex-Wives+Six+The+Musical
"No Way",Six,Studio Cast,Six: The Musical,115,https://www.youtube.com/results?search_query=No+Way+Six+The+Musical
"Don't Lose Ur Head",Six,Studio Cast,Six: The Musical,110,https://www.youtube.com/results?search_query=Dont+Lose+Ur+Head+Six+The+Musical
"Heart of Stone",Six,Studio Cast,Six: The Musical,68,https://www.youtube.com/results?search_query=Heart+of+Stone+Six+The+Musical
"Haus of Holbein",Six,Studio Cast,Six: The Musical,130,https://www.youtube.com/results?search_query=Haus+of+Holbein+Six+The+Musical
"Get Down",Six,Studio Cast,Six: The Musical,112,https://www.youtube.com/results?search_query=Get+Down+Six+The+Musical
"All You Wanna Do",Six,Studio Cast,Six: The Musical,118,https://www.youtube.com/results?search_query=All+You+Wanna+Do+Six+The+Musical
"I Don't Need Your Love",Six,Studio Cast,Six: The Musical,88,https://www.youtube.com/results?search_query=I+Dont+Need+Your+Love+Six+The+Musical
"Six",Six,Studio Cast,Six: The Musical,120,https://www.youtube.com/results?search_query=Six+song+Six+The+Musical
"No One Mourns the Wicked",Wicked,Original Broadway,Wicked (OBCR),138,https://www.youtube.com/results?search_query=No+One+Mourns+the+Wicked+Wicked+OBCR
"Dear Old Shiz",Wicked,Original Broadway,Wicked (OBCR),100,https://www.youtube.com/results?search_query=Dear+Old+Shiz+Wicked+OBCR
"The Wizard and I",Wicked,Original Broadway,Wicked (OBCR),84,https://www.youtube.com/results?search_query=The+Wizard+and+I+Wicked+OBCR
"What Is This Feeling?",Wicked,Original Broadway,Wicked (OBCR),144,https://www.youtube.com/results?search_query=What+Is+This+Feeling+Wicked+OBCR
"Something Bad",Wicked,Original Broadway,Wicked (OBCR),106,https://www.youtube.com/results?search_query=Something+Bad+Wicked+OBCR
"Dancing Through Life",Wicked,Original Broadway,Wicked (OBCR),132,https://www.youtube.com/results?search_query=Dancing+Through+Life+Wicked+OBCR
"Popular",Wicked,Original Broadway,Wicked (OBCR),92,https://www.youtube.com/results?search_query=Popular+Wicked+OBCR
"I'm Not That Girl",Wicked,Original Broadway,Wicked (OBCR),72,https://www.youtube.com/results?search_query=Im+Not+That+Girl+Wicked+OBCR
"One Short Day",Wicked,Original Broadway,Wicked (OBCR),130,https://www.youtube.com/results?search_query=One+Short+Day+Wicked+OBCR
"A Sentimental Man",Wicked,Original Broadway,Wicked (OBCR),88,https://www.youtube.com/results?search_query=A+Sentimental+Man+Wicked+OBCR
"Defying Gravity",Wicked,Original Broadway,Wicked (OBCR),76,https://www.youtube.com/results?search_query=Defying+Gravity+Wicked+OBCR
"Thank Goodness",Wicked,Original Broadway,Wicked (OBCR),120,https://www.youtube.com/results?search_query=Thank+Goodness+Wicked+OBCR
"Wonderful",Wicked,Original Broadway,Wicked (OBCR),112,https://www.youtube.com/results?search_query=Wonderful+Wicked+OBCR
"I'm Not That Girl (Reprise)",Wicked,Original Broadway,Wicked (OBCR),72,https://www.youtube.com/results?search_query=Im+Not+That+Girl+Reprise+Wicked+OBCR
"As Long as You're Mine",Wicked,Original Broadway,Wicked (OBCR),108,https://www.youtube.com/results?search_query=As+Long+as+Youre+Mine+Wicked+OBCR
"No Good Deed",Wicked,Original Broadway,Wicked (OBCR),142,https://www.youtube.com/results?search_query=No+Good+Deed+Wicked+OBCR
"March of the Witch Hunters",Wicked,Original Broadway,Wicked (OBCR),128,https://www.youtube.com/results?search_query=March+of+the+Witch+Hunters+Wicked+OBCR
"For Good",Wicked,Original Broadway,Wicked (OBCR),70,https://www.youtube.com/results?search_query=For+Good+Wicked+OBCR
"Finale",Wicked,Original Broadway,Wicked (OBCR),80,https://www.youtube.com/results?search_query=Finale+Wicked+OBCR
"Anybody Have a Map?",Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),128,https://www.youtube.com/results?search_query=Anybody+Have+a+Map+Dear+Evan+Hansen+OBCR
"Waving Through a Window",Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),160,https://www.youtube.com/results?search_query=Waving+Through+a+Window+Dear+Evan+Hansen+OBCR
"For Forever",Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),80,https://www.youtube.com/results?search_query=For+Forever+Dear+Evan+Hansen+OBCR
"Sincerely, Me",Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),144,https://www.youtube.com/results?search_query=Sincerely+Me+Dear+Evan+Hansen+OBCR
"Requiem",Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),90,https://www.youtube.com/results?search_query=Requiem+Dear+Evan+Hansen+OBCR
"If I Could Tell Her",Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),74,https://www.youtube.com/results?search_query=If+I+Could+Tell+Her+Dear+Evan+Hansen+OBCR
"Disappear",Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),124,https://www.youtube.com/results?search_query=Disappear+Dear+Evan+Hansen+OBCR
"You Will Be Found",Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),124,https://www.youtube.com/results?search_query=You+Will+Be+Found+Dear+Evan+Hansen+OBCR
"To Break In a Glove",Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),106,https://www.youtube.com/results?search_query=To+Break+In+a+Glove+Dear+Evan+Hansen+OBCR
"Only Us",Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),140,https://www.youtube.com/results?search_query=Only+Us+Dear+Evan+Hansen+OBCR
"Good for You",Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),136,https://www.youtube.com/results?search_query=Good+for+You+Dear+Evan+Hansen+OBCR
"Words Fail",Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),116,https://www.youtube.com/results?search_query=Words+Fail+Dear+Evan+Hansen+OBCR
"So Big / So Small",Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),82,https://www.youtube.com/results?search_query=So+Big+So+Small+Dear+Evan+Hansen+OBCR
"Finale",Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),120,https://www.youtube.com/results?search_query=Finale+Dear+Evan+Hansen+OBCR
"Beautiful",Heathers,World Premiere Cast,Heathers (World Premiere),115,https://www.youtube.com/results?search_query=Beautiful+Heathers+World+Premiere+Cast
"Candy Store",Heathers,World Premiere Cast,Heathers (World Premiere),136,https://www.youtube.com/results?search_query=Candy+Store+Heathers+World+Premiere+Cast
"Fight for Me",Heathers,World Premiere Cast,Heathers (World Premiere),112,https://www.youtube.com/results?search_query=Fight+for+Me+Heathers+World+Premiere+Cast
"Freeze Your Brain",Heathers,World Premiere Cast,Heathers (World Premiere),124,https://www.youtube.com/results?search_query=Freeze+Your+Brain+Heathers+World+Premiere+Cast
"Big Fun",Heathers,World Premiere Cast,Heathers (World Premiere),130,https://www.youtube.com/results?search_query=Big+Fun+Heathers+World+Premiere+Cast
"Dead Girl Walking",Heathers,World Premiere Cast,Heathers (World Premiere),128,https://www.youtube.com/results?search_query=Dead+Girl+Walking+Heathers+World+Premiere+Cast
"The Me Inside of Me",Heathers,World Premiere Cast,Heathers (World Premiere),100,https://www.youtube.com/results?search_query=The+Me+Inside+of+Me+Heathers+World+Premiere+Cast
"Blue",Heathers,World Premiere Cast,Heathers (World Premiere),122,https://www.youtube.com/results?search_query=Blue+Heathers+World+Premiere+Cast
"Our Love is God",Heathers,World Premiere Cast,Heathers (World Premiere),116,https://www.youtube.com/results?search_query=Our+Love+is+God+Heathers+World+Premiere+Cast
"My Dead Gay Son",Heathers,World Premiere Cast,Heathers (World Premiere),148,https://www.youtube.com/results?search_query=My+Dead+Gay+Son+Heathers+World+Premiere+Cast
"Seventeen",Heathers,World Premiere Cast,Heathers (World Premiere),78,https://www.youtube.com/results?search_query=Seventeen+Heathers+World+Premiere+Cast
"Shine a Light",Heathers,World Premiere Cast,Heathers (World Premiere),124,https://www.youtube.com/results?search_query=Shine+a+Light+Heathers+World+Premiere+Cast
"Shine a Light",Heathers,World Premiere Cast,Heathers: The Musical,124,https://www.youtube.com/results?search_query=Shine+a+Light+Official+Audio+Heathers+World+Premiere
"Lifeboat",Heathers,World Premiere Cast,Heathers: The Musical,55,https://www.youtube.com/results?search_query=Lifeboat+Official+Audio+Heathers+World+Premiere
"Shine a Light (Reprise)",Heathers,World Premiere Cast,Heathers: The Musical,124,https://www.youtube.com/results?search_query=Shine+a+Light+Reprise+Official+Audio+Heathers+World+Premiere
"Kindergarten Boyfriend",Heathers,World Premiere Cast,Heathers: The Musical,81,https://www.youtube.com/results?search_query=Kindergarten+Boyfriend+Official+Audio+Heathers+World+Premiere
"Yo Girl",Heathers,World Premiere Cast,Heathers: The Musical,120,https://www.youtube.com/results?search_query=Yo+Girl+Official+Audio+Heathers+World+Premiere
"Meant to Be Yours",Heathers,World Premiere Cast,Heathers: The Musical,152,https://www.youtube.com/results?search_query=Meant+to+Be+Yours+Official+Audio+Heathers+World+Premiere
"Dead Girl Walking (Reprise)",Heathers,World Premiere Cast,Heathers: The Musical,132,https://www.youtube.com/results?search_query=Dead+Girl+Walking+Reprise+Official+Audio+Heathers+World+Premiere
"I Am Damaged",Heathers,World Premiere Cast,Heathers: The Musical,110,https://www.youtube.com/results?search_query=I+Am+Damaged+Official+Audio+Heathers+World+Premiere
"Seventeen (Reprise)",Heathers,World Premiere Cast,Heathers: The Musical,115,https://www.youtube.com/results?search_query=Seventeen+Reprise+Official+Audio+Heathers+World+Premiere
"Road to Hell",Hadestown,Original Broadway,Hadestown (OBCR),85,https://www.youtube.com/results?search_query=Road+to+Hell+Official+Audio+Hadestown
"Any Way the Wind Blows",Hadestown,Original Broadway,Hadestown (OBCR),120,https://www.youtube.com/results?search_query=Any+Way+the+Wind+Blows+Official+Audio+Hadestown
"Come Home With Me",Hadestown,Original Broadway,Hadestown (OBCR),114,https://www.youtube.com/results?search_query=Come+Home+With+Me+Official+Audio+Hadestown
"Wedding Song",Hadestown,Original Broadway,Hadestown (OBCR),128,https://www.youtube.com/results?search_query=Wedding+Song+Official+Audio+Hadestown
"Epic I",Hadestown,Original Broadway,Hadestown (OBCR),74,https://www.youtube.com/results?search_query=Epic+I+Official+Audio+Hadestown
"Livin' it Up on Top",Hadestown,Original Broadway,Hadestown (OBCR),158,https://www.youtube.com/results?search_query=Livin+it+Up+on+Top+Official+Audio+Hadestown
"All I've Ever Known",Hadestown,Original Broadway,Hadestown (OBCR),82,https://www.youtube.com/results?search_query=All+Ive+Ever+Known+Official+Audio+Hadestown
"Way Down Hadestown",Hadestown,Original Broadway,Hadestown (OBCR),130,https://www.youtube.com/results?search_query=Way+Down+Hadestown+Official+Audio+Hadestown
"A Gathering Storm",Hadestown,Original Broadway,Hadestown (OBCR),90,https://www.youtube.com/results?search_query=A+Gathering+Storm+Official+Audio+Hadestown
"Epic II",Hadestown,Original Broadway,Hadestown (OBCR),72,https://www.youtube.com/results?search_query=Epic+II+Official+Audio+Hadestown
"Chant",Hadestown,Original Broadway,Hadestown (OBCR),118,https://www.youtube.com/results?search_query=Chant+Official+Audio+Hadestown
"Hey, Little Songbird",Hadestown,Original Broadway,Hadestown (OBCR),105,https://www.youtube.com/results?search_query=Hey+Little+Songbird+Official+Audio+Hadestown
"When the Chips are Down",Hadestown,Original Broadway,Hadestown (OBCR),124,https://www.youtube.com/results?search_query=When+the+Chips+are+Down+Official+Audio+Hadestown
"Gone, I'm Gone",Hadestown,Original Broadway,Hadestown (OBCR),85,https://www.youtube.com/results?search_query=Gone+Im+Gone+Official+Audio+Hadestown
"Wait for Me",Hadestown,Original Broadway,Hadestown (OBCR),67,https://www.youtube.com/results?search_query=Wait+for+Me+Official+Audio+Hadestown
"Why We Build the Wall",Hadestown,Original Broadway,Hadestown (OBCR),88,https://www.youtube.com/results?search_query=Why+We+Build+the+Wall+Official+Audio+Hadestown
"Our Lady of the Underground",Hadestown,Original Broadway,Hadestown (OBCR),120,https://www.youtube.com/results?search_query=Our+Lady+of+the+Underground+Official+Audio+Hadestown
"Way Down Hadestown (Reprise)",Hadestown,Original Broadway,Hadestown (OBCR),130,https://www.youtube.com/results?search_query=Way+Down+Hadestown+Reprise+Official+Audio+Hadestown
"Flowers",Hadestown,Original Broadway,Hadestown (OBCR),65,https://www.youtube.com/results?search_query=Flowers+Official+Audio+Hadestown
"Come Home With Me (Reprise)",Hadestown,Original Broadway,Hadestown (OBCR),108,https://www.youtube.com/results?search_query=Come+Home+With+Me+Reprise+Official+Audio+Hadestown
"Papers",Hadestown,Original Broadway,Hadestown (OBCR),125,https://www.youtube.com/results?search_query=Papers+Official+Audio+Hadestown
"Nothing Changes",Hadestown,Original Broadway,Hadestown (OBCR),90,https://www.youtube.com/results?search_query=Nothing+Changes+Official+Audio+Hadestown
"If It's True",Hadestown,Original Broadway,Hadestown (OBCR),110,https://www.youtube.com/results?search_query=If+Its+True+Official+Audio+Hadestown
"How Long?",Hadestown,Original Broadway,Hadestown (OBCR),100,https://www.youtube.com/results?search_query=How+Long+Official+Audio+Hadestown
"Chant (Reprise)",Hadestown,Original Broadway,Hadestown (OBCR),120,https://www.youtube.com/results?search_query=Chant+Reprise+Official+Audio+Hadestown
"Epic III",Hadestown,Original Broadway,Hadestown (OBCR),80,https://www.youtube.com/results?search_query=Epic+III+Official+Audio+Hadestown
"Promises",Hadestown,Original Broadway,Hadestown (OBCR),92,https://www.youtube.com/results?search_query=Promises+Official+Audio+Hadestown
"Word to the Wise",Hadestown,Original Broadway,Hadestown (OBCR),85,https://www.youtube.com/results?search_query=Word+to+the+Wise+Official+Audio+Hadestown
"His Kiss, the Riot",Hadestown,Original Broadway,Hadestown (OBCR),115,https://www.youtube.com/results?search_query=His+Kiss+the+Riot+Official+Audio+Hadestown
"Wait for Me (Reprise)",Hadestown,Original Broadway,Hadestown (OBCR),75,https://www.youtube.com/results?search_query=Wait+for+Me+Reprise+Official+Audio+Hadestown
"Doubt Comes In",Hadestown,Original Broadway,Hadestown (OBCR),95,https://www.youtube.com/results?search_query=Doubt+Comes+In+Official+Audio+Hadestown
"Road to Hell (Reprise)",Hadestown,Original Broadway,Hadestown (OBCR),85,https://www.youtube.com/results?search_query=Road+to+Hell+Reprise+Official+Audio+Hadestown
"Hello!",The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),165,https://www.youtube.com/results?search_query=Hello+Official+Audio+Book+of+Mormon
"Two By Two",The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),154,https://www.youtube.com/results?search_query=Two+By+Two+Official+Audio+Book+of+Mormon
"You and Me (But Mostly Me)",The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),128,https://www.youtube.com/results?search_query=You+and+Me+But+Mostly+Me+Official+Audio+Book+of+Mormon
"Hasa Diga Eebowai",The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),134,https://www.youtube.com/results?search_query=Hasa+Diga+Eebowai+Official+Audio+Book+of+Mormon
"Turn It Off",The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),130,https://www.youtube.com/results?search_query=Turn+It+Off+Official+Audio+Book+of+Mormon
"I Am Here for You",The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),105,https://www.youtube.com/results?search_query=I+Am+Here+for+You+Official+Audio+Book+of+Mormon
"All-American Prophet",The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),118,https://www.youtube.com/results?search_query=All-American+Prophet+Official+Audio+Book+of+Mormon
"Sal Tlay Ka Siti",The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),82,https://www.youtube.com/results?search_query=Sal+Tlay+Ka+Siti+Official+Audio+Book+of+Mormon
"I Am Here for You (Reprise)",The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),100,https://www.youtube.com/results?search_query=I+Am+Here+for+You+Reprise+Official+Audio+Book+of+Mormon
"Man Up",The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),140,https://www.youtube.com/results?search_query=Man+Up+Official+Audio+Book+of+Mormon
"Making Things Up Again",The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),120,https://www.youtube.com/results?search_query=Making+Things+Up+Again+Official+Audio+Book+of+Mormon
"Spooky Mormon Hell Dream",The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),150,https://www.youtube.com/results?search_query=Spooky+Mormon+Hell+Dream+Official+Audio+Book+of+Mormon
"I Believe",The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),84,https://www.youtube.com/results?search_query=I+Believe+Official+Audio+Book+of+Mormon
"Baptize Me",The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),92,https://www.youtube.com/results?search_query=Baptize+Me+Official+Audio+Book+of+Mormon
"I Am Africa",The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),110,https://www.youtube.com/results?search_query=I+Am+Africa+Official+Audio+Book+of+Mormon
"Joseph Smith American Moses",The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),135,https://www.youtube.com/results?search_query=Joseph+Smith+American+Moses+Official+Audio+Book+of+Mormon
"Tomorrow Is a Latter Day",The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),125,https://www.youtube.com/results?search_query=Tomorrow+Is+a+Latter+Day+Official+Audio+Book+of+Mormon
"What's Inside",Waitress,Original Broadway,Waitress (OBCR),72,https://www.youtube.com/results?search_query=Whats+Inside+Official+Audio+Waitress
"Opening Up",Waitress,Original Broadway,Waitress (OBCR),134,https://www.youtube.com/results?search_query=Opening+Up+Official+Audio+Waitress
"The Negative",Waitress,Original Broadway,Waitress (OBCR),116,https://www.youtube.com/results?search_query=The+Negative+Official+Audio+Waitress
"What Baking Can Do",Waitress,Original Broadway,Waitress (OBCR),148,https://www.youtube.com/results?search_query=What+Baking+Can+Do+Official+Audio+Waitress
"Club Knocked Up",Waitress,Original Broadway,Waitress (OBCR),115,https://www.youtube.com/results?search_query=Club+Knocked+Up+Official+Audio+Waitress
"Pomatter Pie",Waitress,Original Broadway,Waitress (OBCR),100,https://www.youtube.com/results?search_query=Pomatter+Pie+Official+Audio+Waitress
"When He Sees Me",Waitress,Original Broadway,Waitress (OBCR),162,https://www.youtube.com/results?search_query=When+He+Sees+Me+Official+Audio+Waitress
"It Only Takes a Taste",Waitress,Original Broadway,Waitress (OBCR),105,https://www.youtube.com/results?search_query=It+Only+Takes+a+Taste+Official+Audio+Waitress
"You Will Still Be Mine",Waitress,Original Broadway,Waitress (OBCR),105,https://www.youtube.com/results?search_query=You+Will+Still+Be+Mine+Official+Audio+Waitress
"A Soft Place to Land",Waitress,Original Broadway,Waitress (OBCR),88,https://www.youtube.com/results?search_query=A+Soft+Place+to+Land+Official+Audio+Waitress
"Never Ever Getting Rid of Me",Waitress,Original Broadway,Waitress (OBCR),138,https://www.youtube.com/results?search_query=Never+Ever+Getting+Rid+of+Me+Official+Audio+Waitress
"Bad Idea",Waitress,Original Broadway,Waitress (OBCR),124,https://www.youtube.com/results?search_query=Bad+Idea+Official+Audio+Waitress
"I Didn't Plan It",Waitress,Original Broadway,Waitress (OBCR),120,https://www.youtube.com/results?search_query=I+Didnt+Plan+It+Official+Audio+Waitress
"Bad Idea (Reprise)",Waitress,Original Broadway,Waitress (OBCR),130,https://www.youtube.com/results?search_query=Bad+Idea+Reprise+Official+Audio+Waitress
"You Matter to Me",Waitress,Original Broadway,Waitress (OBCR),68,https://www.youtube.com/results?search_query=You+Matter+to+Me+Official+Audio+Waitress
"I Love You Like a Table",Waitress,Original Broadway,Waitress (OBCR),140,https://www.youtube.com/results?search_query=I+Love+You+Like+a+Table+Official+Audio+Waitress
"Take It from an Old Man",Waitress,Original Broadway,Waitress (OBCR),75,https://www.youtube.com/results?search_query=Take+It+from+an+Old+Man+Official+Audio+Waitress
"Dear Baby",Waitress,Original Broadway,Waitress (OBCR),80,https://www.youtube.com/results?search_query=Dear+Baby+Official+Audio+Waitress
"She Used to Be Mine",Waitress,Original Broadway,Waitress (OBCR),74,https://www.youtube.com/results?search_query=She+Used+to+Be+Mine+Official+Audio+Waitress
"Contraction Ballet",Waitress,Original Broadway,Waitress (OBCR),100,https://www.youtube.com/results?search_query=Contraction+Ballet+Official+Audio+Waitress
"Everything Changes",Waitress,Original Broadway,Waitress (OBCR),86,https://www.youtube.com/results?search_query=Everything+Changes+Official+Audio+Waitress
"Opening Up (Finale)",Waitress,Original Broadway,Waitress (OBCR),134,https://www.youtube.com/results?search_query=Opening+Up+Finale+Official+Audio+Waitress
"Prologue: Invisible",Beetlejuice,Original Broadway,Beetlejuice (OBCR),85,https://www.youtube.com/results?search_query=Prologue+Invisible+Official+Audio+Beetlejuice
"The Whole ""Being Dead"" Thing",Beetlejuice,Original Broadway,Beetlejuice (OBCR),154,https://www.youtube.com/results?search_query=The+Whole+Being+Dead+Thing+Official+Audio+Beetlejuice
