Song,Show,Specific Production,Album,BPM,YouTube Link,Length
Schuyler Defeated,Hamilton,Original Broadway,Hamilton (OBCR),120,https://www.youtube.com/results?search_query=Schuyler+Defeated+Hamilton+OBCR,1:03
Cabinet Battle #2,Hamilton,Original Broadway,Hamilton (OBCR),92,https://www.youtube.com/results?search_query=Cabinet+Battle+2+Hamilton+OBCR,2:22
Washington on Your Side,Hamilton,Original Broadway,Hamilton (OBCR),94,https://www.youtube.com/results?search_query=Washington+on+Your+Side+Hamilton+OBCR,3:01
One Last Time,Hamilton,Original Broadway,Hamilton (OBCR),86,https://www.youtube.com/results?search_query=One+Last+Time+Hamilton+OBCR,4:56
I Know Him,Hamilton,Original Broadway,Hamilton (OBCR),122,https://www.youtube.com/results?search_query=I+Know+Him+Hamilton+OBCR,1:37
The Adams Administration,Hamilton,Original Broadway,Hamilton (OBCR),120,https://www.youtube.com/results?search_query=The+Adams+Administration+Hamilton+OBCR,0:54
We Know,Hamilton,Original Broadway,Hamilton (OBCR),88,https://www.youtube.com/results?search_query=We+Know+Hamilton+OBCR,2:22
Hurricane,Hamilton,Original Broadway,Hamilton (OBCR),118,https://www.youtube.com/results?search_query=Hurricane+Hamilton+OBCR,2:23
The Reynolds Pamphlet,Hamilton,Original Broadway,Hamilton (OBCR),120,https://www.youtube.com/results?search_query=The+Reynolds+Pamphlet+Hamilton+OBCR,2:08
Burn,Hamilton,Original Broadway,Hamilton (OBCR),80,https://www.youtube.com/results?search_query=Burn+Hamilton+OBCR,3:45
Blow Us All Away,Hamilton,Original Broadway,Hamilton (OBCR),96,https://www.youtube.com/results?search_query=Blow+Us+All+Away+Hamilton+OBCR,2:53
Stay Alive (Reprise),Hamilton,Original Broadway,Hamilton (OBCR),72,https://www.youtube.com/results?search_query=Stay+Alive+Reprise+Hamilton+OBCR,1:51
It's Quiet Uptown,Hamilton,Original Broadway,Hamilton (OBCR),74,https://www.youtube.com/results?search_query=Its+Quiet+Uptown+Hamilton+OBCR,4:30
The Election of 1800,Hamilton,Original Broadway,Hamilton (OBCR),120,https://www.youtube.com/results?search_query=The+Election+of+1800+Hamilton+OBCR,3:57
Your Obedient Servant,Hamilton,Original Broadway,Hamilton (OBCR),98,https://www.youtube.com/results?search_query=Your+Obedient+Servant+Hamilton+OBCR,2:30
Best of Wives and Best of Women,Hamilton,Original Broadway,Hamilton (OBCR),72,https://www.youtube.com/results?search_query=Best+of+Wives+and+Best+of+Women+Hamilton+OBCR,0:47
The World Was Wide Enough,Hamilton,Original Broadway,Hamilton (OBCR),122,https://www.youtube.com/results?search_query=The+World+Was+Wide+Enough+Hamilton+OBCR,5:02
"Who Lives, Who Dies, Who Tells Your Story",Hamilton,Original Broadway,Hamilton (OBCR),84,https://www.youtube.com/results?search_query=Who+Lives+Who+Dies+Who+Tells+Your+Story+Hamilton+OBCR,3:37
Ex-Wives,Six,Studio Cast,Six: The Musical,122,https://www.youtube.com/results?search_query=Ex-Wives+Six+The+Musical,5:51
No Way,Six,Studio Cast,Six: The Musical,115,https://www.youtube.com/results?search_query=No+Way+Six+The+Musical,4:02
Don't Lose Ur Head,Six,Studio Cast,Six: The Musical,110,https://www.youtube.com/results?search_query=Dont+Lose+Ur+Head+Six+The+Musical,4:06
Heart of Stone,Six,Studio Cast,Six: The Musical,68,https://www.youtube.com/results?search_query=Heart+of+Stone+Six+The+Musical,5:12
Haus of Holbein,Six,Studio Cast,Six: The Musical,130,https://www.youtube.com/results?search_query=Haus+of+Holbein+Six+The+Musical,2:07
Get Down,Six,Studio Cast,Six: The Musical,112,https://www.youtube.com/results?search_query=Get+Down+Six+The+Musical,4:14
All You Wanna Do,Six,Studio Cast,Six: The Musical,118,https://www.youtube.com/results?search_query=All+You+Wanna+Do+Six+The+Musical,6:51
I Don't Need Your Love,Six,Studio Cast,Six: The Musical,88,https://www.youtube.com/results?search_query=I+Dont+Need+Your+Love+Six+The+Musical,6:08
Six,Six,Studio Cast,Six: The Musical,120,https://www.youtube.com/results?search_query=Six+song+Six+The+Musical,4:00
No One Mourns the Wicked,Wicked,Original Broadway,Wicked (OBCR),138,https://www.youtube.com/results?search_query=No+One+Mourns+the+Wicked+Wicked+OBCR,6:40
Dear Old Shiz,Wicked,Original Broadway,Wicked (OBCR),100,https://www.youtube.com/results?search_query=Dear+Old+Shiz+Wicked+OBCR,1:26
The Wizard and I,Wicked,Original Broadway,Wicked (OBCR),84,https://www.youtube.com/results?search_query=The+Wizard+and+I+Wicked+OBCR,5:09
What Is This Feeling?,Wicked,Original Broadway,Wicked (OBCR),144,https://www.youtube.com/results?search_query=What+Is+This+Feeling+Wicked+OBCR,3:32
Something Bad,Wicked,Original Broadway,Wicked (OBCR),106,https://www.youtube.com/results?search_query=Something+Bad+Wicked+OBCR,1:39
Dancing Through Life,Wicked,Original Broadway,Wicked (OBCR),132,https://www.youtube.com/results?search_query=Dancing+Through+Life+Wicked+OBCR,7:37
Popular,Wicked,Original Broadway,Wicked (OBCR),92,https://www.youtube.com/results?search_query=Popular+Wicked+OBCR,3:44
I'm Not That Girl,Wicked,Original Broadway,Wicked (OBCR),72,https://www.youtube.com/results?search_query=Im+Not+That+Girl+Wicked+OBCR,2:58
One Short Day,Wicked,Original Broadway,Wicked (OBCR),130,https://www.youtube.com/results?search_query=One+Short+Day+Wicked+OBCR,3:03
A Sentimental Man,Wicked,Original Broadway,Wicked (OBCR),88,https://www.youtube.com/results?search_query=A+Sentimental+Man+Wicked+OBCR,1:16
Defying Gravity,Wicked,Original Broadway,Wicked (OBCR),76,https://www.youtube.com/results?search_query=Defying+Gravity+Wicked+OBCR,5:53
Thank Goodness,Wicked,Original Broadway,Wicked (OBCR),120,https://www.youtube.com/results?search_query=Thank+Goodness+Wicked+OBCR,6:23
Wonderful,Wicked,Original Broadway,Wicked (OBCR),112,https://www.youtube.com/results?search_query=Wonderful+Wicked+OBCR,4:57
I'm Not That Girl (Reprise),Wicked,Original Broadway,Wicked (OBCR),72,https://www.youtube.com/results?search_query=Im+Not+That+Girl+Reprise+Wicked+OBCR,0:50
As Long as You're Mine,Wicked,Original Broadway,Wicked (OBCR),108,https://www.youtube.com/results?search_query=As+Long+as+Youre+Mine+Wicked+OBCR,3:45
No Good Deed,Wicked,Original Broadway,Wicked (OBCR),142,https://www.youtube.com/results?search_query=No+Good+Deed+Wicked+OBCR,3:31
March of the Witch Hunters,Wicked,Original Broadway,Wicked (OBCR),128,https://www.youtube.com/results?search_query=March+of+the+Witch+Hunters+Wicked+OBCR,1:31
For Good,Wicked,Original Broadway,Wicked (OBCR),70,https://www.youtube.com/results?search_query=For+Good+Wicked+OBCR,5:06
Finale,Wicked,Original Broadway,Wicked (OBCR),80,https://www.youtube.com/results?search_query=Finale+Wicked+OBCR,1:41
Anybody Have a Map?,Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),128,https://www.youtube.com/results?search_query=Anybody+Have+a+Map+Dear+Evan+Hansen+OBCR,2:26
Waving Through a Window,Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),160,https://www.youtube.com/results?search_query=Waving+Through+a+Window+Dear+Evan+Hansen+OBCR,3:56
For Forever,Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),80,https://www.youtube.com/results?search_query=For+Forever+Dear+Evan+Hansen+OBCR,5:01
"Sincerely, Me",Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),144,https://www.youtube.com/results?search_query=Sincerely+Me+Dear+Evan+Hansen+OBCR,3:42
Requiem,Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),90,https://www.youtube.com/results?search_query=Requiem+Dear+Evan+Hansen+OBCR,4:19
If I Could Tell Her,Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),74,https://www.youtube.com/results?search_query=If+I+Could+Tell+Her+Dear+Evan+Hansen+OBCR,4:08
Disappear,Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),124,https://www.youtube.com/results?search_query=Disappear+Dear+Evan+Hansen+OBCR,4:35
You Will Be Found,Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),124,https://www.youtube.com/results?search_query=You+Will+Be+Found+Dear+Evan+Hansen+OBCR,6:00
To Break In a Glove,Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),106,https://www.youtube.com/results?search_query=To+Break+In+a+Glove+Dear+Evan+Hansen+OBCR,3:50
Only Us,Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),140,https://www.youtube.com/results?search_query=Only+Us+Dear+Evan+Hansen+OBCR,3:47
Good for You,Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),136,https://www.youtube.com/results?search_query=Good+for+You+Dear+Evan+Hansen+OBCR,3:05
Words Fail,Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),116,https://www.youtube.com/results?search_query=Words+Fail+Dear+Evan+Hansen+OBCR,5:51
So Big / So Small,Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),82,https://www.youtube.com/results?search_query=So+Big+So+Small+Dear+Evan+Hansen+OBCR,4:12
Finale,Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),120,https://www.youtube.com/results?search_query=Finale+Dear+Evan+Hansen+OBCR,1:35
Beautiful,Heathers,World Premiere Cast,Heathers (World Premiere),115,https://www.youtube.com/results?search_query=Beautiful+Heathers+World+Premiere+Cast,8:16
Candy Store,Heathers,World Premiere Cast,Heathers (World Premiere),136,https://www.youtube.com/results?search_query=Candy+Store+Heathers+World+Premiere+Cast,2:57
Fight for Me,Heathers,World Premiere Cast,Heathers (World Premiere),112,https://www.youtube.com/results?search_query=Fight+for+Me+Heathers+World+Premiere+Cast,2:33
Freeze Your Brain,Heathers,World Premiere Cast,Heathers (World Premiere),124,https://www.youtube.com/results?search_query=Freeze+Your+Brain+Heathers+World+Premiere+Cast,2:48
Big Fun,Heathers,World Premiere Cast,Heathers (World Premiere),130,https://www.youtube.com/results?search_query=Big+Fun+Heathers+World+Premiere+Cast,4:05
Dead Girl Walking,Heathers,World Premiere Cast,Heathers (World Premiere),128,https://www.youtube.com/results?search_query=Dead+Girl+Walking+Heathers+World+Premiere+Cast,3:17
The Me Inside of Me,Heathers,World Premiere Cast,Heathers (World Premiere),100,https://www.youtube.com/results?search_query=The+Me+Inside+of+Me+Heathers+World+Premiere+Cast,2:28
Blue,Heathers,World Premiere Cast,Heathers (World Premiere),122,https://www.youtube.com/results?search_query=Blue+Heathers+World+Premiere+Cast,2:48
Our Love is God,Heathers,World Premiere Cast,Heathers (World Premiere),116,https://www.youtube.com/results?search_query=Our+Love+is+God+Heathers+World+Premiere+Cast,5:12
My Dead Gay Son,Heathers,World Premiere Cast,Heathers (World Premiere),148,https://www.youtube.com/results?search_query=My+Dead+Gay+Son+Heathers+World+Premiere+Cast,3:23
Seventeen,Heathers,World Premiere Cast,Heathers (World Premiere),78,https://www.youtube.com/results?search_query=Seventeen+Heathers+World+Premiere+Cast,3:12
Shine a Light,Heathers,World Premiere Cast,Heathers (World Premiere),124,https://www.youtube.com/results?search_query=Shine+a+Light+Heathers+World+Premiere+Cast,2:31
Shine a Light,Heathers,World Premiere Cast,Heathers: The Musical,124,https://www.youtube.com/results?search_query=Shine+a+Light+Official+Audio+Heathers+World+Premiere,2:31
Lifeboat,Heathers,World Premiere Cast,Heathers: The Musical,55,https://www.youtube.com/results?search_query=Lifeboat+Official+Audio+Heathers+World+Premiere,1:39
Shine a Light (Reprise),Heathers,World Premiere Cast,Heathers: The Musical,124,https://www.youtube.com/results?search_query=Shine+a+Light+Reprise+Official+Audio+Heathers+World+Premiere,0:42
Kindergarten Boyfriend,Heathers,World Premiere Cast,Heathers: The Musical,81,https://www.youtube.com/results?search_query=Kindergarten+Boyfriend+Official+Audio+Heathers+World+Premiere,3:48
Yo Girl,Heathers,World Premiere Cast,Heathers: The Musical,120,https://www.youtube.com/results?search_query=Yo+Girl+Official+Audio+Heathers+World+Premiere,1:46
Meant to Be Yours,Heathers,World Premiere Cast,Heathers: The Musical,152,https://www.youtube.com/results?search_query=Meant+to+Be+Yours+Official+Audio+Heathers+World+Premiere,3:25
Dead Girl Walking (Reprise),Heathers,World Premiere Cast,Heathers: The Musical,132,https://www.youtube.com/results?search_query=Dead+Girl+Walking+Reprise+Official+Audio+Heathers+World+Premiere,2:46
I Am Damaged,Heathers,World Premiere Cast,Heathers: The Musical,110,https://www.youtube.com/results?search_query=I+Am+Damaged+Official+Audio+Heathers+World+Premiere,1:26
Seventeen (Reprise),Heathers,World Premiere Cast,Heathers: The Musical,115,https://www.youtube.com/results?search_query=Seventeen+Reprise+Official+Audio+Heathers+World+Premiere,2:44
Road to Hell,Hadestown,Original Broadway,Hadestown (OBCR),85,https://www.youtube.com/results?search_query=Road+to+Hell+Official+Audio+Hadestown,5:17
Any Way the Wind Blows,Hadestown,Original Broadway,Hadestown (OBCR),120,https://www.youtube.com/results?search_query=Any+Way+the+Wind+Blows+Official+Audio+Hadestown,3:45
Come Home With Me,Hadestown,Original Broadway,Hadestown (OBCR),114,https://www.youtube.com/results?search_query=Come+Home+With+Me+Official+Audio+Hadestown,1:47
Wedding Song,Hadestown,Original Broadway,Hadestown (OBCR),128,https://www.youtube.com/results?search_query=Wedding+Song+Official+Audio+Hadestown,3:33
Epic I,Hadestown,Original Broadway,Hadestown (OBCR),74,https://www.youtube.com/results?search_query=Epic+I+Official+Audio+Hadestown,3:12
Livin' it Up on Top,Hadestown,Original Broadway,Hadestown (OBCR),158,https://www.youtube.com/results?search_query=Livin+it+Up+on+Top+Official+Audio+Hadestown,5:29
All I've Ever Known,Hadestown,Original Broadway,Hadestown (OBCR),82,https://www.youtube.com/results?search_query=All+Ive+Ever+Known+Official+Audio+Hadestown,4:03
Way Down Hadestown,Hadestown,Original Broadway,Hadestown (OBCR),130,https://www.youtube.com/results?search_query=Way+Down+Hadestown+Official+Audio+Hadestown,5:00
A Gathering Storm,Hadestown,Original Broadway,Hadestown (OBCR),90,https://www.youtube.com/results?search_query=A+Gathering+Storm+Official+Audio+Hadestown,1:33
Epic II,Hadestown,Original Broadway,Hadestown (OBCR),72,https://www.youtube.com/results?search_query=Epic+II+Official+Audio+Hadestown,2:26
Chant,Hadestown,Original Broadway,Hadestown (OBCR),118,https://www.youtube.com/results?search_query=Chant+Official+Audio+Hadestown,6:31
"Hey, Little Songbird",Hadestown,Original Broadway,Hadestown (OBCR),105,https://www.youtube.com/results?search_query=Hey+Little+Songbird+Official+Audio+Hadestown,3:32
When the Chips are Down,Hadestown,Original Broadway,Hadestown (OBCR),124,https://www.youtube.com/results?search_query=When+the+Chips+are+Down+Official+Audio+Hadestown,2:14
"Gone, I'm Gone",Hadestown,Original Broadway,Hadestown (OBCR),85,https://www.youtube.com/results?search_query=Gone+Im+Gone+Official+Audio+Hadestown,1:41
Wait for Me,Hadestown,Original Broadway,Hadestown (OBCR),67,https://www.youtube.com/results?search_query=Wait+for+Me+Official+Audio+Hadestown,3:34
Why We Build the Wall,Hadestown,Original Broadway,Hadestown (OBCR),88,https://www.youtube.com/results?search_query=Why+We+Build+the+Wall+Official+Audio+Hadestown,4:00
Our Lady of the Underground,Hadestown,Original Broadway,Hadestown (OBCR),120,https://www.youtube.com/results?search_query=Our+Lady+of+the+Underground+Official+Audio+Hadestown,5:24
Way Down Hadestown (Reprise),Hadestown,Original Broadway,Hadestown (OBCR),130,https://www.youtube.com/results?search_query=Way+Down+Hadestown+Reprise+Official+Audio+Hadestown,3:50
Flowers,Hadestown,Original Broadway,Hadestown (OBCR),65,https://www.youtube.com/results?search_query=Flowers+Official+Audio+Hadestown,3:31
Come Home With Me (Reprise),Hadestown,Original Broadway,Hadestown (OBCR),108,https://www.youtube.com/results?search_query=Come+Home+With+Me+Reprise+Official+Audio+Hadestown,1:01
Papers,Hadestown,Original Broadway,Hadestown (OBCR),125,https://www.youtube.com/results?search_query=Papers+Official+Audio+Hadestown,1:53
Nothing Changes,Hadestown,Original Broadway,Hadestown (OBCR),90,https://www.youtube.com/results?search_query=Nothing+Changes+Official+Audio+Hadestown,1:11
If It's True,Hadestown,Original Broadway,Hadestown (OBCR),110,https://www.youtube.com/results?search_query=If+Its+True+Official+Audio+Hadestown,4:13
How Long?,Hadestown,Original Broadway,Hadestown (OBCR),100,https://www.youtube.com/results?search_query=How+Long+Official+Audio+Hadestown,3:41
Chant (Reprise),Hadestown,Original Broadway,Hadestown (OBCR),120,https://www.youtube.com/results?search_query=Chant+Reprise+Official+Audio+Hadestown,4:01
Epic III,Hadestown,Original Broadway,Hadestown (OBCR),80,https://www.youtube.com/results?search_query=Epic+III+Official+Audio+Hadestown,5:51
Promises,Hadestown,Original Broadway,Hadestown (OBCR),92,https://www.youtube.com/results?search_query=Promises+Official+Audio+Hadestown,2:43
Word to the Wise,Hadestown,Original Broadway,Hadestown (OBCR),85,https://www.youtube.com/results?search_query=Word+to+the+Wise+Official+Audio+Hadestown,1:20
"His Kiss, the Riot",Hadestown,Original Broadway,Hadestown (OBCR),115,https://www.youtube.com/results?search_query=His+Kiss+the+Riot+Official+Audio+Hadestown,3:03
Wait for Me (Reprise),Hadestown,Original Broadway,Hadestown (OBCR),75,https://www.youtube.com/results?search_query=Wait+for+Me+Reprise+Official+Audio+Hadestown,3:12
Doubt Comes In,Hadestown,Original Broadway,Hadestown (OBCR),95,https://www.youtube.com/results?search_query=Doubt+Comes+In+Official+Audio+Hadestown,4:51
Road to Hell (Reprise),Hadestown,Original Broadway,Hadestown (OBCR),85,https://www.youtube.com/results?search_query=Road+to+Hell+Reprise+Official+Audio+Hadestown,5:05
Hello!,The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),165,https://www.youtube.com/results?search_query=Hello+Official+Audio+Book+of+Mormon,2:52
Two By Two,The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),154,https://www.youtube.com/results?search_query=Two+By+Two+Official+Audio+Book+of+Mormon,4:32
You and Me (But Mostly Me),The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),128,https://www.youtube.com/results?search_query=You+and+Me+But+Mostly+Me+Official+Audio+Book+of+Mormon,2:43
Hasa Diga Eebowai,The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),134,https://www.youtube.com/results?search_query=Hasa+Diga+Eebowai+Official+Audio+Book+of+Mormon,4:25
Turn It Off,The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),130,https://www.youtube.com/results?search_query=Turn+It+Off+Official+Audio+Book+of+Mormon,5:03
I Am Here for You,The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),105,https://www.youtube.com/results?search_query=I+Am+Here+for+You+Official+Audio+Book+of+Mormon,2:04
All-American Prophet,The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),118,https://www.youtube.com/results?search_query=All-American+Prophet+Official+Audio+Book+of+Mormon,6:15
Sal Tlay Ka Siti,The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),82,https://www.youtube.com/results?search_query=Sal+Tlay+Ka+Siti+Official+Audio+Book+of+Mormon,3:42
I Am Here for You (Reprise),The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),100,https://www.youtube.com/results?search_query=I+Am+Here+for+You+Reprise+Official+Audio+Book+of+Mormon,2:04
Man Up,The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),140,https://www.youtube.com/results?search_query=Man+Up+Official+Audio+Book+of+Mormon,4:04
Making Things Up Again,The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),120,https://www.youtube.com/results?search_query=Making+Things+Up+Again+Official+Audio+Book+of+Mormon,4:17
Spooky Mormon Hell Dream,The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),150,https://www.youtube.com/results?search_query=Spooky+Mormon+Hell+Dream+Official+Audio+Book+of+Mormon,4:30
I Believe,The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),84,https://www.youtube.com/results?search_query=I+Believe+Official+Audio+Book+of+Mormon,4:43
Baptize Me,The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),92,https://www.youtube.com/results?search_query=Baptize+Me+Official+Audio+Book+of+Mormon,4:15
I Am Africa,The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),110,https://www.youtube.com/results?search_query=I+Am+Africa+Official+Audio+Book+of+Mormon,2:22
Joseph Smith American Moses,The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),135,https://www.youtube.com/results?search_query=Joseph+Smith+American+Moses+Official+Audio+Book+of+Mormon,6:12
Tomorrow Is a Latter Day,The Book of Mormon,Original Broadway,The Book of Mormon (OBCR),125,https://www.youtube.com/results?search_query=Tomorrow+Is+a+Latter+Day+Official+Audio+Book+of+Mormon,6:02
What's Inside,Waitress,Original Broadway,Waitress (OBCR),72,https://www.youtube.com/results?search_query=Whats+Inside+Official+Audio+Waitress,1:31
Opening Up,Waitress,Original Broadway,Waitress (OBCR),134,https://www.youtube.com/results?search_query=Opening+Up+Official+Audio+Waitress,2:34
The Negative,Waitress,Original Broadway,Waitress (OBCR),116,https://www.youtube.com/results?search_query=The+Negative+Official+Audio+Waitress,2:27
What Baking Can Do,Waitress,Original Broadway,Waitress (OBCR),148,https://www.youtube.com/results?search_query=What+Baking+Can+Do+Official+Audio+Waitress,3:30
Club Knocked Up,Waitress,Original Broadway,Waitress (OBCR),115,https://www.youtube.com/results?search_query=Club+Knocked+Up+Official+Audio+Waitress,0:46
Pomatter Pie,Waitress,Original Broadway,Waitress (OBCR),100,https://www.youtube.com/results?search_query=Pomatter+Pie+Official+Audio+Waitress,1:01
When He Sees Me,Waitress,Original Broadway,Waitress (OBCR),162,https://www.youtube.com/results?search_query=When+He+Sees+Me+Official+Audio+Waitress,3:43
It Only Takes a Taste,Waitress,Original Broadway,Waitress (OBCR),105,https://www.youtube.com/results?search_query=It+Only+Takes+a+Taste+Official+Audio+Waitress,3:08
You Will Still Be Mine,Waitress,Original Broadway,Waitress (OBCR),105,https://www.youtube.com/results?search_query=You+Will+Still+Be+Mine+Official+Audio+Waitress,2:18
A Soft Place to Land,Waitress,Original Broadway,Waitress (OBCR),88,https://www.youtube.com/results?search_query=A+Soft+Place+to+Land+Official+Audio+Waitress,2:57
Never Ever Getting Rid of Me,Waitress,Original Broadway,Waitress (OBCR),138,https://www.youtube.com/results?search_query=Never+Ever+Getting+Rid+of+Me+Official+Audio+Waitress,2:16
Bad Idea,Waitress,Original Broadway,Waitress (OBCR),124,https://www.youtube.com/results?search_query=Bad+Idea+Official+Audio+Waitress,3:06
I Didn't Plan It,Waitress,Original Broadway,Waitress (OBCR),120,https://www.youtube.com/results?search_query=I+Didnt+Plan+It+Official+Audio+Waitress,2:39
Bad Idea (Reprise),Waitress,Original Broadway,Waitress (OBCR),130,https://www.youtube.com/results?search_query=Bad+Idea+Reprise+Official+Audio+Waitress,1:03
You Matter to Me,Waitress,Original Broadway,Waitress (OBCR),68,https://www.youtube.com/results?search_query=You+Matter+to+Me+Official+Audio+Waitress,4:21
I Love You Like a Table,Waitress,Original Broadway,Waitress (OBCR),140,https://www.youtube.com/results?search_query=I+Love+You+Like+a+Table+Official+Audio+Waitress,1:56
Take It from an Old Man,Waitress,Original Broadway,Waitress (OBCR),75,https://www.youtube.com/results?search_query=Take+It+from+an+Old+Man+Official+Audio+Waitress,2:37
Dear Baby,Waitress,Original Broadway,Waitress (OBCR),80,https://www.youtube.com/results?search_query=Dear+Baby+Official+Audio+Waitress,0:36
